,AGO,BOL,BRA,BDI,ECU,IDN,MDG,MWI,PNG,PRY,PER,RWA,TLS,ZWE,COG,CUB,DOM,HTI,PHL,TZA,ZMB,BEN,CMR,CAF,COL,COD,CRI,CIV,SLV,GNQ,ETH,GAB,GHA,GTM,GIN,GUY,HND,IND,JAM,KEN,LAO,LBR,MEX,NPL,NIC,NGA,PAN,SLE,LKA,THA,TGO,TTO,UGA,VEN,VNM,YEM
1921,78.392624,92.377365,152.37277,68.18026,178.9918,228.55428,129.76343,90.44906,284.5418,94.45909,129.25552,67.93802,121.729164,65.30612,129.09793,106.22798,129.7707,136.01083,232.26328,70.42126,85.12973,94.78713,125.25205,109.45768,244.69824,113.38788,207.25285,125.34129,156.27628,184.70343,56.9411,152.4997,112.74214,245.99374,151.13005,193.43591,173.7506,91.81279,182.54083,38.986206,125.1425,216.98515,55.833424,118.75539,184.42722,100.78573,206.09282,230.08716,127.80294,124.80763,100.64048,157.4,76.82047,161.52164,146.76532,13.57297
1922,75.82947,92.17062,151.19772,68.79561,152.93826,217.2707,127.03849,77.11068,260.37726,89.961075,126.15071,79.36927,128.17084,31.792923,134.43787,97.23702,104.74086,88.934586,209.32703,74.57441,71.938705,87.183334,128.98596,115.78027,213.75041,124.62152,200.35599,118.38265,145.59038,206.8892,56.361958,159.16585,91.90669,212.12247,162.55417,195.12389,166.39003,93.17351,117.0225,47.454704,129.18613,226.05,62.842175,142.40813,181.25494,91.24838,203.22751,260.38715,135.48137,132.41187,90.51905,118.39166,92.80032,157.14558,152.74124,13.901296
1923,90.73011,88.557945,145.57762,89.25439,146.10051,205.34224,121.49141,94.80681,246.59485,88.92864,124.33252,87.546875,106.43988,66.40672,132.43634,103.47417,114.531456,107.47667,216.10645,88.85297,90.85573,82.755554,141.28386,119.91996,192.3873,128.02934,187.27213,111.16321,127.996155,182.37108,70.863106,150.92328,94.16137,156.58318,152.29025,170.04347,154.92873,83.14154,142.37582,65.3407,152.09306,177.85966,53.975567,102.9808,178.60924,97.85326,196.70871,226.6919,146.68088,143.93655,85.75,141.45,101.74531,146.37552,169.5657,13.626727
1924,80.369316,81.912,160.95828,85.823685,169.90044,238.35725,110.762436,77.34636,257.78937,66.42638,124.12248,83.583855,95.82024,53.719025,130.56082,120.49571,111.8207,116.590004,218.60869,67.15785,68.60785,94.17529,128.94339,116.300064,208.87727,121.05614,267.9167,132.64217,157.60129,183.66814,60.370735,150.37094,92.31636,242.09317,167.59642,176.29562,171.12947,88.62941,206.52917,46.026867,131.43523,211.1595,56.97608,115.629776,210.20586,108.38246,230.01103,246.30428,145.89828,133.25633,95.11714,106.2,88.69547,144.8429,150.90839,13.851036
1925,82.11708,87.38447,139.1102,102.98596,176.67688,216.34346,115.29427,106.656815,244.3519,90.65587,128.37102,92.870834,110.36726,73.30743,142.60902,98.052505,114.52124,105.7975,218.21834,87.841576,91.65688,97.20263,137.22919,111.721054,224.09102,125.969284,215.75105,131.21672,129.40578,191.6598,65.85113,158.5765,106.66152,169.45,161.30298,152.31065,158.6442,89.10338,124.75667,52.038433,136.77802,203.44,61.58254,115.9753,185.34518,100.04613,210.06686,232.18918,146.67354,131.10847,100.14571,108.80501,86.349594,143.99826,142.71193,13.745424
1926,81.61461,86.85651,148.15628,81.23596,129.01971,217.57968,116.235916,102.857506,266.18845,83.467514,122.137474,83.009895,107.243454,71.24136,144.8796,119.03048,108.29973,110.104164,220.15276,80.0811,95.23876,83.06915,143.89035,109.11826,202.75168,125.81242,194.65599,122.73185,157.99295,242.03726,78.45273,177.691,94.01222,240.72871,148.62344,162.70009,170.8308,88.32887,140.74918,58.479992,143.95778,212.7905,58.886116,117.762596,186.32162,92.54247,183.02733,227.75833,142.20197,142.44786,85.07643,107.98167,100.42638,142.07285,167.3308,14.049006
1927,84.121635,93.20601,141.8534,87.89474,185.5037,220.6232,125.583694,93.17488,271.211,82.17874,130.7153,90.64583,111.95536,45.885742,124.856705,94.22679,122.023926,133.97833,195.07074,81.44626,78.40782,91.57485,135.34758,103.22064,241.7395,123.4066,255.37292,138.23636,149.94743,202.33481,56.130024,142.55301,95.41464,233.95193,163.43132,232.77457,168.98764,89.51252,158.64833,46.080784,142.0806,238.48332,63.67832,107.499084,201.79623,108.006714,227.43082,223.24258,126.81152,135.00879,88.23571,139.37668,78.27994,181.83081,155.48396,13.379146
1928,73.74479,92.03468,145.16101,77.48333,184.93471,222.33537,123.180984,81.82148,267.89362,98.72026,130.99887,86.575,114.52858,52.005623,137.32559,98.743576,135.48817,133.98792,204.31027,74.03573,80.64575,90.0345,152.02975,115.68434,243.45695,116.21913,202.15312,134.50697,143.27307,237.2701,65.090614,155.81142,100.33287,201.97067,168.57143,189.4189,162.94017,86.63647,146.33667,48.76412,125.20589,270.66284,56.537067,111.02815,192.50365,104.56545,179.48354,262.44867,144.38455,118.80217,92.32119,124.173325,90.31473,150.59355,136.52956,13.731433
1929,80.49763,92.73299,149.04523,82.08816,171.98898,218.68782,118.22467,90.31409,270.61652,83.3929,127.916176,93.90364,146.5875,70.71255,131.64377,99.0056,90.90699,86.847916,206.44197,72.97189,83.19231,99.37573,129.72052,114.54515,205.7363,124.837,166.68307,132.78722,155.56795,202.44363,65.91468,142.88327,110.18138,233.46028,173.17834,178.10713,170.49673,87.793686,102.815,46.734337,145.97969,227.88834,57.74756,116.23588,178.46524,101.890526,169.3312,251.31644,143.63309,117.029724,103.70809,127.855,87.72799,150.06496,151.63272,13.997798
1930,71.259094,91.83512,135.6496,103.18904,141.55688,213.05168,110.410355,78.975235,264.03613,95.93788,121.68125,113.4849,88.46786,53.104565,111.93291,112.292984,108.71129,109.46208,174.85022,100.678215,77.29845,89.20658,125.6803,108.53461,201.73224,121.764015,154.60963,116.81895,147.22949,168.35147,64.371574,126.35075,104.07951,208.33467,151.88036,172.20163,163.57248,86.82964,127.90501,64.52963,127.81569,199.04001,57.537792,99.122154,166.14609,103.912766,179.7841,210.72635,144.75246,126.117226,91.776665,127.69,95.88746,146.44087,139.7247,13.441063
1931,77.19704,93.7917,141.8843,92.32632,155.6763,239.14365,131.90727,104.40798,221.92928,85.708145,121.461716,95.57761,93.004166,44.86225,126.54848,109.56679,126.91909,134.60542,202.04193,88.6916,87.23785,96.02719,133.65082,112.998375,217.147,120.44584,203.13803,135.69296,176.13269,192.35785,60.47362,132.40143,104.99026,231.2939,164.72739,187.29898,175.48616,96.3828,191.35333,50.663254,118.24089,249.84085,61.690346,127.316666,199.21849,104.902115,175.58527,251.03288,157.75735,121.268906,98.15309,127.525,95.12217,178.24326,133.6216,13.291969
1932,71.98008,97.68736,132.8289,93.15351,177.76051,238.32796,129.2236,79.52547,228.15034,98.548485,139.49136,98.49219,146.11429,61.525654,128.32532,100.95726,125.04463,119.38292,209.94344,84.07735,83.06798,75.29839,126.97656,106.66465,215.4084,119.66931,223.59012,117.13988,175.26218,169.59952,58.926247,132.27681,92.45514,236.15967,165.40884,188.35886,180.81041,91.10241,154.44667,56.110634,147.80595,245.08333,63.91683,100.338615,226.37903,91.09468,180.72655,251.15247,145.14093,131.98145,82.991905,107.096664,91.705666,144.55728,152.13808,13.7045765
1933,79.19203,88.7592,141.79079,86.34781,175.08826,241.99704,114.94255,78.51701,280.5574,76.82117,123.39082,92.0974,144.5113,48.556526,186.34964,152.09476,137.8828,169.10709,206.58232,75.6429,75.91304,99.685234,143.736,125.52826,217.42603,119.584755,260.92578,137.64871,208.225,173.2701,59.182495,183.59497,112.83871,251.98616,168.35104,222.38737,177.46487,101.95049,317.86002,42.461746,134.85315,212.83768,63.953026,134.60934,216.43555,100.49648,219.24069,236.12297,136.69215,132.5714,108.813805,164.04832,89.03981,166.12149,134.03845,13.713125
